"","date","State","lat","long","death_rate","c_PercentChange","d_PercentChange","measure","value"
"137",2020-03-10,"Oklahoma",35.5653,-96.9289,0,NA,NA,"Deaths",0
"138",2020-03-10,"Oregon",44.572,-122.0709,0,NA,NA,"Deaths",0
"139",2020-03-10,"Pennsylvania",40.5908,-77.2098,0,NA,NA,"Deaths",0
"140",2020-03-10,"Rhode Island",41.6809,-71.5118,0,NA,NA,"Deaths",0
"141",2020-03-10,"South Carolina",33.8569,-80.945,0,NA,NA,"Deaths",0
"142",2020-03-10,"South Dakota",44.2998,-99.4388,NA,NA,NA,"Deaths",0
"143",2020-03-10,"Tennessee",35.7478,-86.6923,0,NA,NA,"Deaths",0
"144",2020-03-10,"Texas",31.0545,-97.5635,0,NA,NA,"Deaths",0
"145",2020-03-10,"Utah",40.15,-111.8624,0,NA,NA,"Deaths",0
"146",2020-03-10,"Vermont",44.0459,-72.7107,0,NA,NA,"Deaths",0
"147",2020-03-10,"Virginia",37.7693,-78.17,0,NA,NA,"Deaths",0
"148",2020-03-10,"West Virginia",38.4912,-80.9545,NA,NA,NA,"Deaths",0
"149",2020-03-10,"Wisconsin",44.2685,-89.6165,0,NA,NA,"Deaths",0
"150",2020-03-10,"Wyoming",42.756,-107.3025,NA,NA,NA,"Deaths",0
"151",2020-03-11,"Washington",47.4009,-121.4905,0.079,37.079,26.087,"Confirmed Cases",366
"152",2020-03-11,"New York",42.1657,-74.9481,0,27.168,NA,"Confirmed Cases",220
"153",2020-03-11,"California",36.1162,-119.6816,0.017,22.917,50,"Confirmed Cases",177
"154",2020-03-11,"Massachusetts",42.2302,-71.5301,0,3.261,NA,"Confirmed Cases",95
"155",2020-03-11,"Colorado",39.0598,-105.3111,0,126.667,NA,"Confirmed Cases",34
"156",2020-03-11,"Washington",47.4009,-121.4905,0.079,37.079,26.087,"Deaths",29
"157",2020-03-11,"Florida",27.7663,-81.6868,0.071,86.667,0,"Confirmed Cases",28
"158",2020-03-11,"Illinois",40.3495,-88.9861,0,108.333,NA,"Confirmed Cases",25
"159",2020-03-11,"Georgia",33.0406,-83.6431,0,35.294,NA,"Confirmed Cases",23
"160",2020-03-11,"New Jersey",40.2989,-74.521,0.043,53.333,0,"Confirmed Cases",23
"161",2020-03-11,"Texas",31.0545,-97.5635,0,61.538,NA,"Confirmed Cases",21
"162",2020-03-11,"Oregon",44.572,-122.0709,0,26.667,NA,"Confirmed Cases",19
"163",2020-03-11,"Pennsylvania",40.5908,-77.2098,0,33.333,NA,"Confirmed Cases",16
"164",2020-03-11,"Iowa",42.0115,-93.2105,0,62.5,NA,"Confirmed Cases",13
"165",2020-03-11,"Indiana",39.8494,-86.2583,0,83.333,NA,"Confirmed Cases",11
"166",2020-03-11,"District of Columbia",38.8974,-77.0268,0,100,NA,"Confirmed Cases",10
"167",2020-03-11,"South Carolina",33.8569,-80.945,0,42.857,NA,"Confirmed Cases",10
"168",2020-03-11,"Arizona",33.7298,-111.4312,0,50,NA,"Confirmed Cases",9
"169",2020-03-11,"Maryland",39.0639,-76.8021,0,12.5,NA,"Confirmed Cases",9
"170",2020-03-11,"Tennessee",35.7478,-86.6923,0,28.571,NA,"Confirmed Cases",9
"171",2020-03-11,"Virginia",37.7693,-78.17,0,28.571,NA,"Confirmed Cases",9
"172",2020-03-11,"Kentucky",37.6681,-84.6701,0,33.333,NA,"Confirmed Cases",8
"173",2020-03-11,"South Dakota",44.2998,-99.4388,0.125,Inf,Inf,"Confirmed Cases",8
"174",2020-03-11,"Nevada",38.3135,-117.0554,0,75,NA,"Confirmed Cases",7
"175",2020-03-11,"North Carolina",35.6301,-79.8064,0,0,NA,"Confirmed Cases",7
"176",2020-03-11,"Louisiana",31.1695,-91.8678,0,500,NA,"Confirmed Cases",6
"177",2020-03-11,"Wisconsin",44.2685,-89.6165,0,100,NA,"Confirmed Cases",6
"178",2020-03-11,"Minnesota",45.6945,-93.9002,0,66.667,NA,"Confirmed Cases",5
"179",2020-03-11,"Nebraska",41.1254,-98.2681,0,66.667,NA,"Confirmed Cases",5
"180",2020-03-11,"New Hampshire",43.4525,-71.5639,0,25,NA,"Confirmed Cases",5
"181",2020-03-11,"Rhode Island",41.6809,-71.5118,0,66.667,NA,"Confirmed Cases",5
"182",2020-03-11,"Ohio",40.3888,-82.7649,0,33.333,NA,"Confirmed Cases",4
"183",2020-03-11,"Connecticut",41.5978,-72.7554,0,50,NA,"Confirmed Cases",3
"184",2020-03-11,"New Mexico",34.8405,-106.2485,0,Inf,NA,"Confirmed Cases",3
"185",2020-03-11,"Utah",40.15,-111.8624,0,50,NA,"Confirmed Cases",3
"186",2020-03-11,"California",36.1162,-119.6816,0.017,22.917,50,"Deaths",3
"187",2020-03-11,"Hawaii",21.0943,-157.4983,0,0,NA,"Confirmed Cases",2
"188",2020-03-11,"Michigan",43.3266,-84.5361,0,Inf,NA,"Confirmed Cases",2
"189",2020-03-11,"Oklahoma",35.5653,-96.9289,0,0,NA,"Confirmed Cases",2
"190",2020-03-11,"California",36.1162,-119.6816,0.017,22.917,50,"Recovered",2
"191",2020-03-11,"Illinois",40.3495,-88.9861,0,108.333,NA,"Recovered",2
"192",2020-03-11,"Florida",27.7663,-81.6868,0.071,86.667,0,"Deaths",2
"193",2020-03-11,"Arkansas",34.9697,-92.3731,0,Inf,NA,"Confirmed Cases",1
"194",2020-03-11,"Delaware",39.3185,-75.5071,0,Inf,NA,"Confirmed Cases",1
"195",2020-03-11,"Kansas",38.5266,-96.7265,0,0,NA,"Confirmed Cases",1
"196",2020-03-11,"Missouri",38.4561,-92.2884,0,0,NA,"Confirmed Cases",1
"197",2020-03-11,"Montana",46.9219,-110.4544,0,Inf,NA,"Confirmed Cases",1
"198",2020-03-11,"Vermont",44.0459,-72.7107,0,0,NA,"Confirmed Cases",1
"199",2020-03-11,"Arizona",33.7298,-111.4312,0,50,NA,"Recovered",1
"200",2020-03-11,"Massachusetts",42.2302,-71.5301,0,3.261,NA,"Recovered",1
"201",2020-03-11,"Washington",47.4009,-121.4905,0.079,37.079,26.087,"Recovered",1
"202",2020-03-11,"Wisconsin",44.2685,-89.6165,0,100,NA,"Recovered",1
"203",2020-03-11,"New Jersey",40.2989,-74.521,0.043,53.333,0,"Deaths",1
"204",2020-03-11,"South Dakota",44.2998,-99.4388,0.125,Inf,Inf,"Deaths",1
